City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Killybegs,IE,54.6333,-8.45,62.49,91,100,7.72,overcast clouds
1,Busselton,AU,-33.65,115.3333,51.26,84,0,7.67,clear sky
2,Geraldton,AU,-28.7667,114.6,52.21,93,27,11.5,scattered clouds
3,Salalah,OM,17.0151,54.0924,77.09,94,100,4.61,overcast clouds
4,Butaritari,KI,3.0707,172.7902,82.36,75,16,19.77,few clouds
5,Vaini,TO,-21.2,-175.2,78.96,83,40,12.66,scattered clouds
6,Pangnirtung,CA,66.1451,-65.7125,47.68,71,95,3.31,overcast clouds
7,Zitacuaro,MX,19.4372,-100.358,63.73,97,99,1.77,light rain
8,Provideniya,RU,64.3833,-173.3,44.71,81,75,18.01,broken clouds
9,Lorengau,PG,-2.0226,147.2712,82.4,73,97,6.22,light rain
10,Bay Roberts,CA,47.5999,-53.2648,67.75,89,63,8.99,broken clouds
11,Ribeira Grande,PT,38.5167,-28.7,72.64,91,16,3.6,few clouds
12,Teguise,ES,29.0605,-13.564,68.22,83,20,21.85,few clouds
13,Hithadhoo,MV,-0.6,73.0833,81.84,74,100,13.73,overcast clouds
14,Valley City,US,46.9233,-98.0032,90.12,58,0,14.97,clear sky
15,Oregon City,US,45.3573,-122.6068,81.81,50,0,6.91,clear sky
16,Maravilha,BR,-26.7608,-53.1725,58.8,96,100,2.33,moderate rain
17,Victoria,HK,22.2855,114.1577,86.38,86,100,8.01,overcast clouds
18,Lago Da Pedra,BR,-4.3333,-45.1667,79.84,60,83,1.99,broken clouds
19,Bredasdorp,ZA,-34.5322,20.0403,53.89,86,100,1.92,overcast clouds
20,Biak,ID,-0.9131,122.8766,75.11,86,100,6.8,overcast clouds
21,Saurimo,AO,-9.6608,20.3916,58.77,46,6,5.03,clear sky
22,Gat,IL,31.61,34.7642,79.39,79,0,0.4,clear sky
23,Luderitz,NA,-26.6481,15.1594,56.8,86,0,9.86,clear sky
24,Rikitea,PF,-23.1203,-134.9692,74.59,74,9,11.21,clear sky
25,Kavieng,PG,-2.5744,150.7967,84.4,70,100,11.9,light rain
26,Port-Gentil,GA,-0.7193,8.7815,73.36,88,40,8.05,scattered clouds
