City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
4,Butaritari,KI,82.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
5,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Lorengau,PG,82.4,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
11,Ribeira Grande,PT,72.64,few clouds,38.5167,-28.7,Quinta da Meia Eira
13,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
15,Oregon City,US,81.81,clear sky,45.3573,-122.6068,Best Western Plus Rivershore Hotel
20,Biak,ID,75.11,overcast clouds,-0.9131,122.8766,Penginapan Kim
22,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
24,Rikitea,PF,74.59,clear sky,-23.1203,-134.9692,People ThankYou
25,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
26,Port-Gentil,GA,73.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
27,Arsenyev,RU,70.95,overcast clouds,44.1631,133.2733,ArsHostel on Kalininskaya 18
29,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
37,Lakatoro,VU,81.93,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
40,Jamestown,US,74.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Garissa,KE,71.76,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
50,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
51,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
58,Hami,CN,81.27,overcast clouds,42.8,93.45,Laoyutang Resort
59,Asyut,EG,84.65,few clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
64,Lixourion,GR,77.56,clear sky,38.2019,20.4314,Hotel Summery
67,Annau,TM,81.9,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
80,Yellowknife,CA,73.92,broken clouds,62.456,-114.3525,The Explorer Hotel
81,San Juan De Los Morros,VE,72.3,light rain,9.9115,-67.3538,Hotel La Montaña
84,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
85,Tucurui,BR,81.27,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
91,Assiniboia,CA,80.42,moderate rain,49.6334,-105.9845,Canalta Hotel Assiniboia
93,Fortuna,US,73.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
97,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
99,Puerto Cabezas,NI,84.16,scattered clouds,14.0351,-83.3888,Cabaña Caribe
100,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
103,Meulaboh,ID,75.49,broken clouds,4.1363,96.1285,Kost Pria
104,Guerrero Negro,MX,78.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
108,Harper,LR,73.81,broken clouds,4.375,-7.7169,Screensaver
110,Belmonte,BR,70.75,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
111,Roma,US,76.73,mist,43.2128,-75.4557,Wingate By Wyndham Rome
119,Labuhan,ID,77.04,broken clouds,-6.8844,112.2051,DoubleFAG
121,Awjilah,LY,81.91,clear sky,29.1081,21.2869,المنزل
122,Portland,US,82.47,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
130,Tela,HN,79.72,broken clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
141,Tecoanapa,MX,84.13,overcast clouds,16.5167,-98.75,Hotel Manglares
143,Tual,ID,79.72,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
144,Atuona,PF,77.68,broken clouds,-9.8,-139.0333,Villa Enata
146,Dongsheng,CN,73.76,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
152,Bethel,US,76.03,mist,41.3712,-73.414,Courtyard by Marriott Danbury
158,Sal Rei,CV,74.79,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
166,Lompoc,US,80.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
169,Goderich,CA,74.91,clear sky,43.7501,-81.7165,Harmony Inn
172,Khandyga,RU,76.41,overcast clouds,62.6667,135.6,Apel'sin
177,Sur,OM,84.07,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
178,Shimoda,JP,80.96,light rain,34.6667,138.95,Shimoda Tokyu Hotel
185,Kudahuvadhoo,MV,81.61,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
186,Manzhouli,CN,73.62,overcast clouds,49.6,117.4333,Angala International Youth Hostel
188,Faanui,PF,76.6,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
191,Nouadhibou,MR,71.58,scattered clouds,20.931,-17.0347,El Medina
193,Bafq,IR,83.3,clear sky,31.6128,55.4107,Alamdar Hotel
194,Sao Joao Da Barra,BR,70.9,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
195,Cape Canaveral,US,84.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
197,Paracuru,BR,78.12,clear sky,-3.41,-39.0306,Hotel Vento Brasil
